id,lat,lon,status,install_year
SL_2272,37.293453,127.057473,정상,2012
SL_2273,37.293692,127.057337,정상,2012
SL_2274,37.293831,127.05723,정상,2012
SL_2275,37.294048,127.057101,정상,2012
SL_2276,37.294386,127.056864,정상,2012
SL_2277,37.294665,127.056684,정상,2012
SL_2278,37.294881,127.056487,정상,2012
SL_2279,37.295165,127.056464,정상,2013
SL_2280,37.29621,127.057531,정상,2013
SL_2281,37.296545,127.057545,정상,2013
SL_2282,37.296512,127.057306,정상,2013
SL_2283,37.296438,127.057159,정상,2013
SL_2284,37.296152,127.05704,정상,2013
SL_2285,37.29587,127.056908,정상,2013
SL_2286,37.295566,127.056761,정상,2013
SL_2287,37.295339,127.056532,정상,2013
SL_2288,37.295899,127.057049,정상,2013
SL_2289,37.295913,127.057181,정상,2013
SL_2290,37.294994,127.056715,정상,2013
SL_2291,37.295595,127.057054,정상,2013
SL_2292,37.295374,127.057285,정상,2013
SL_2293,37.295852,127.056676,정상,2013
SL_2294,37.295958,127.05644,정상,2013
SL_2295,37.296062,127.056065,정상,2013
SL_2296,37.295911,127.055887,정상,2013
SL_2297,37.295611,127.056016,정상,2013
SL_2298,37.295679,127.056112,정상,2013
SL_2299,37.295744,127.056239,정상,2013
SL_2300,37.295814,127.056361,정상,2013
SL_2301,37.29496,127.057313,정상,2013
SL_2302,37.295309,127.056115,정상,2013
SL_2303,37.295478,127.05598,정상,2013
SL_2304,37.295713,127.055737,정상,2013
SL_2305,37.294998,127.05768,정상,2013
SL_2306,37.295146,127.058049,정상,2013
SL_2307,37.295419,127.058083,정상,2013
SL_2308,37.295581,127.05788,정상,2013
SL_2309,37.295723,127.057593,정상,2013
SL_2310,37.295885,127.05748,정상,2013
SL_2311,37.291748,127.046952,정상,2013
SL_2312,37.290357,127.048834,정상,2013
SL_2313,37.290256,127.048967,정상,2013
SL_2314,37.290057,127.049235,정상,2013
SL_2315,37.289933,127.049406,정상,2013
SL_2316,37.289798,127.04959,정상,2013
SL_2317,37.289636,127.049815,정상,2013
SL_2318,37.289458,127.050043,정상,2013
SL_2319,37.289293,127.050272,정상,2013
SL_2320,37.289196,127.050401,정상,2013
SL_2321,37.289016,127.050649,정상,2013
SL_2322,37.29159,127.047172,정상,2013
SL_2323,37.291428,127.047389,정상,2013
SL_2324,37.291254,127.047625,정상,2013
SL_2325,37.291121,127.047814,정상,2013
SL_2326,37.290986,127.047989,정상,2013
SL_2327,37.290853,127.048167,정상,2013
SL_2328,37.290688,127.048384,정상,2013
SL_2329,37.290562,127.048561,정상,2013
SL_2330,37.291636,127.06461,정상,2011
SL_2331,37.289545,127.061233,정상,2011
SL_2332,37.289101,127.060717,정상,2011
SL_2333,37.288845,127.060435,정상,2011
SL_2334,37.288638,127.06019,정상,2011
SL_2335,37.288446,127.059953,정상,2011
SL_2336,37.28823,127.059704,정상,2011
SL_2337,37.288007,127.059445,정상,2011
SL_2338,37.287708,127.059095,정상,2011
SL_2339,37.287611,127.058971,정상,2011
SL_2340,37.291431,127.064063,정상,2011
SL_2341,37.291105,127.063298,정상,2011
SL_2342,37.290643,127.062534,정상,2011
SL_2343,37.290173,127.061958,정상,2011
SL_2344,37.289932,127.061657,정상,2011
SL_2345,37.289831,127.061397,정상,2011
SL_2346,37.289765,127.061479,정상,2011
SL_2347,37.289666,127.061389,정상,2011
SL_2348,37.282863,127.053411,정상,2013
SL_2349,37.283079,127.053659,정상,2013
SL_2350,37.283336,127.053949,정상,2013
SL_2351,37.283615,127.054229,정상,2013
SL_2352,37.283865,127.05457,정상,2013
SL_2353,37.284079,127.054827,정상,2013
SL_2354,37.284317,127.0551,정상,2013
SL_2355,37.284482,127.055289,정상,2013
SL_2356,37.28463,127.055461,정상,2013
SL_2357,37.284797,127.056127,정상,2011
SL_2358,37.283081,127.054118,정상,2011
SL_2359,37.282887,127.05389,정상,2011
SL_2360,37.282656,127.053644,정상,2011
SL_2361,37.284614,127.055918,정상,2011
SL_2362,37.284441,127.055707,정상,2011
SL_2363,37.284252,127.055478,정상,2011
SL_2364,37.284049,127.055255,정상,2011
SL_2365,37.28382,127.054984,정상,2011
SL_2366,37.283585,127.054711,정상,2011
SL_2367,37.283446,127.054547,정상,2011
SL_2368,37.283261,127.054333,정상,2011
SL_2369,37.286419,127.05065,정상,2012
SL_2370,37.284023,127.053888,정상,2012
SL_2371,37.28391,127.054063,정상,2012
SL_2372,37.283917,127.053792,정상,2012
SL_2373,37.284154,127.053403,정상,2012
SL_2374,37.284406,127.053006,정상,2012
SL_2375,37.284949,127.052048,정상,2012
SL_2376,37.28517,127.051709,정상,2012
SL_2377,37.285542,127.051168,정상,2012
SL_2378,37.285718,127.050977,정상,2012
SL_2379,37.285986,127.050735,정상,2012
SL_2380,37.286133,127.050893,정상,2012
SL_2381,37.286218,127.05052,정상,2012
SL_2382,37.286142,127.050365,정상,2012
SL_2383,37.28598,127.050024,정상,2012
SL_2384,37.285067,127.051647,정상,2012
SL_2385,37.284968,127.051543,정상,2012
SL_2386,37.28479,127.051388,정상,2012
SL_2387,37.284625,127.051193,정상,2012
SL_2388,37.28447,127.05103,정상,2012
SL_2389,37.28581,127.051225,정상,2012
SL_2390,37.285567,127.05147,정상,2012
SL_2391,37.285323,127.051848,정상,2012
SL_2392,37.285107,127.052197,정상,2012
SL_2393,37.284834,127.052645,정상,2012
SL_2394,37.284476,127.053166,정상,2012
SL_2395,37.284271,127.053488,정상,2012
SL_2396,37.299181,127.046895,정상,2013
SL_2397,37.29834,127.044557,정상,2013
SL_2398,37.298466,127.044311,정상,2013
SL_2399,37.298597,127.044066,정상,2013
SL_2400,37.298777,127.043731,정상,2013
SL_2401,37.298917,127.043463,정상,2013
SL_2402,37.29857,127.043829,정상,2013
SL_2403,37.29834,127.044235,정상,2013
SL_2404,37.298099,127.044675,정상,2013
SL_2405,37.297943,127.045115,정상,2013
SL_2406,37.297959,127.045526,정상,2013
SL_2407,37.298983,127.046722,정상,2013
SL_2408,37.298089,127.045944,정상,2013
SL_2409,37.298285,127.046305,정상,2013
SL_2410,37.298587,127.046652,정상,2013
SL_2411,37.298877,127.046883,정상,2013
SL_2412,37.298972,127.047097,정상,2013
SL_2413,37.2991,127.047394,정상,2013
SL_2414,37.298962,127.047721,정상,2013
SL_2415,37.298816,127.048042,정상,2013
SL_2416,37.298602,127.047574,정상,2013
SL_2417,37.298771,127.047207,정상,2013
SL_2418,37.298796,127.04657,정상,2013
SL_2419,37.298497,127.046299,정상,2013
SL_2420,37.298294,127.046009,정상,2013
SL_2421,37.29815,127.045662,정상,2013
SL_2422,37.298107,127.045414,정상,2013
SL_2423,37.298121,127.045117,정상,2013
SL_2424,37.298209,127.04479,정상,2013
SL_2425,37.305421,127.051168,정상,2013
SL_2426,37.307552,127.05177,고장,2013
SL_2427,37.307743,127.051798,정상,2013
SL_2428,37.307948,127.051835,정상,2013
SL_2429,37.308171,127.05188,정상,2013
SL_2430,37.308381,127.051928,정상,2013
SL_2431,37.308602,127.052005,정상,2013
SL_2432,37.308822,127.052098,정상,2013
SL_2433,37.309043,127.052183,정상,2013
SL_2434,37.309221,127.052273,정상,2013
SL_2435,37.309406,127.052389,정상,2013
SL_2436,37.305518,127.051506,정상,2013
SL_2437,37.30957,127.052502,정상,2013
SL_2438,37.309746,127.052648,정상,2013
SL_2439,37.309928,127.052832,정상,2013
SL_2440,37.310124,127.053013,정상,2013
SL_2441,37.310288,127.053202,정상,2013
SL_2442,37.310453,127.053427,정상,2013
