id,lat,lon,status,install_year,geometry
SL_0877,37.283167,127.058829,정상,2013,POINT (127.058829 37.283167)
SL_0878,37.283523,127.058409,정상,2013,POINT (127.058409 37.283523)
SL_0879,37.283896,127.05799,정상,2013,POINT (127.05799 37.283896)
SL_0880,37.28442,127.056893,정상,2013,POINT (127.056893 37.28442)
SL_0881,37.283983,127.057815,정상,2013,POINT (127.057815 37.283983)
SL_0882,37.284174,127.057547,고장,2013,POINT (127.057547 37.284174)
SL_0883,37.28437,127.057274,정상,2013,POINT (127.057274 37.28437)
SL_0884,37.284546,127.057034,정상,2013,POINT (127.057034 37.284546)
SL_0885,37.284749,127.056753,정상,2013,POINT (127.056753 37.284749)
SL_0886,37.285013,127.0564,정상,2013,POINT (127.0564 37.285013)
SL_0887,37.284233,127.057141,정상,2013,POINT (127.057141 37.284233)
SL_0888,37.284041,127.057415,정상,2013,POINT (127.057415 37.284041)
SL_0889,37.283839,127.057688,정상,2013,POINT (127.057688 37.283839)
SL_0890,37.283552,127.058065,정상,2013,POINT (127.058065 37.283552)
SL_0891,37.283243,127.05846,정상,2013,POINT (127.05846 37.283243)
SL_0892,37.282872,127.058835,정상,2013,POINT (127.058835 37.282872)
SL_0894,37.267392,127.067174,정상,2014,POINT (127.067174 37.267392)
SL_0895,37.267313,127.06694,정상,2014,POINT (127.06694 37.267313)
SL_0896,37.267241,127.066717,정상,2014,POINT (127.066717 37.267241)
SL_0897,37.267153,127.066458,정상,2014,POINT (127.066458 37.267153)
SL_0898,37.267072,127.066235,정상,2014,POINT (127.066235 37.267072)
SL_0899,37.266971,127.06595,정상,2014,POINT (127.06595 37.266971)
SL_0900,37.266863,127.065637,정상,2014,POINT (127.065637 37.266863)
SL_0901,37.266771,127.0654,정상,2014,POINT (127.0654 37.266771)
SL_0902,37.266679,127.065169,정상,2014,POINT (127.065169 37.266679)
SL_0903,37.266596,127.06493,정상,2014,POINT (127.06493 37.266596)
SL_0905,37.266501,127.064681,정상,2014,POINT (127.064681 37.266501)
SL_0906,37.266398,127.064419,정상,2014,POINT (127.064419 37.266398)
SL_0907,37.266314,127.064191,정상,2014,POINT (127.064191 37.266314)
SL_0908,37.266211,127.063948,정상,2014,POINT (127.063948 37.266211)
SL_0909,37.266128,127.063723,정상,2014,POINT (127.063723 37.266128)
SL_0910,37.266031,127.063492,정상,2014,POINT (127.063492 37.266031)
SL_0911,37.265912,127.063232,정상,2014,POINT (127.063232 37.265912)
SL_0912,37.265837,127.063041,정상,2014,POINT (127.063041 37.265837)
SL_0913,37.265725,127.062826,정상,2014,POINT (127.062826 37.265725)
SL_0914,37.265628,127.062646,정상,2014,POINT (127.062646 37.265628)
SL_0916,37.265507,127.062429,정상,2014,POINT (127.062429 37.265507)
SL_0917,37.265347,127.062164,정상,2014,POINT (127.062164 37.265347)
SL_0918,37.26608,127.064027,정상,2014,POINT (127.064027 37.26608)
SL_0919,37.266181,127.064258,정상,2014,POINT (127.064258 37.266181)
SL_0920,37.266283,127.064492,정상,2014,POINT (127.064492 37.266283)
SL_0921,37.266364,127.064695,정상,2014,POINT (127.064695 37.266364)
SL_0922,37.267886,127.068815,정상,2014,POINT (127.068815 37.267886)
SL_0923,37.267812,127.068561,정상,2014,POINT (127.068561 37.267812)
SL_0924,37.267738,127.068299,정상,2014,POINT (127.068299 37.267738)
SL_0925,37.267659,127.068031,정상,2014,POINT (127.068031 37.267659)
SL_0926,37.267585,127.067825,정상,2014,POINT (127.067825 37.267585)
SL_0927,37.267495,127.067518,정상,2014,POINT (127.067518 37.267495)
SL_0928,37.280211,127.04942,정상,2013,POINT (127.04942 37.280211)
SL_0929,37.278438,127.04943,정상,2013,POINT (127.04943 37.278438)
SL_0930,37.278294,127.049689,정상,2013,POINT (127.049689 37.278294)
SL_0931,37.278202,127.049602,정상,2013,POINT (127.049602 37.278202)
SL_0932,37.277859,127.049291,정상,2013,POINT (127.049291 37.277859)
SL_0933,37.277515,127.049277,정상,2013,POINT (127.049277 37.277515)
SL_0934,37.2779,127.049576,정상,2013,POINT (127.049576 37.2779)
SL_0935,37.278123,127.049791,정상,2013,POINT (127.049791 37.278123)
SL_0936,37.278199,127.049853,정상,2013,POINT (127.049853 37.278199)
SL_0937,37.278431,127.049977,정상,2013,POINT (127.049977 37.278431)
SL_0938,37.278798,127.050118,정상,2013,POINT (127.050118 37.278798)
SL_0939,37.280164,127.04982,정상,2013,POINT (127.04982 37.280164)
SL_0940,37.279048,127.050285,정상,2013,POINT (127.050285 37.279048)
SL_0941,37.278999,127.050606,정상,2013,POINT (127.050606 37.278999)
SL_0942,37.278951,127.050947,정상,2013,POINT (127.050947 37.278951)
SL_0943,37.278908,127.051282,정상,2013,POINT (127.051282 37.278908)
SL_0944,37.278861,127.051598,정상,2013,POINT (127.051598 37.278861)
SL_0945,37.27937,127.050279,정상,2013,POINT (127.050279 37.27937)
SL_0946,37.279787,127.050358,정상,2013,POINT (127.050358 37.279787)
