id,lat,lon,status,install_year,geometry,dong_name
SL_4194,37.243565,127.061131,정상,2004,POINT (205423.96741590838 516045.5326691799),망포동
SL_4195,37.243849,127.061171,정상,2004,POINT (205427.49612876496 516077.05391565163),망포동
SL_4196,37.243848,127.061346,정상,2004,POINT (205443.02336094383 516076.9529805227),망포동
SL_4197,37.243583,127.061306,정상,2004,POINT (205439.49334080538 516047.5403898377),망포동
SL_4198,37.24306,127.061221,정상,2004,POINT (205431.98908543453 515989.49180561065),망포동
SL_4199,37.242718,127.06117,정상,2004,POINT (205427.48850411267 515951.5329623751),망포동
SL_4200,37.242371,127.061102,정상,2004,POINT (205421.47985777547 515913.018239124),망포동
SL_4201,37.242042,127.061046,정상,2004,POINT (205416.5346130558 515876.5018885874),망포동
SL_4202,37.241704,127.061051,정상,2004,POINT (205417.00244623117 515838.9901917452),망포동
SL_4203,37.241546,127.061428,정상,2004,POINT (205450.46471098097 515821.4766423402),망포동
SL_4204,37.241371,127.061214,정상,2004,POINT (205431.4891918304 515802.0424606065),망포동
SL_4205,37.241528,127.06184,정상,2004,POINT (205487.02249975866 515819.5027610974),망포동
SL_4206,37.241398,127.06087,정상,2004,POINT (205400.96430530353 515805.0193002381),망포동
SL_4207,37.241619,127.060724,정상,2004,POINT (205387.99406653433 515829.53804562567),망포동
SL_4208,37.241835,127.060758,정상,2004,POINT (205390.99547673596 515853.51213523664),망포동
SL_4209,37.242042,127.060798,정상,2004,POINT (205394.52988349958 515876.4877288643),망포동
SL_4210,37.242366,127.060854,정상,2004,POINT (205399.47558053824 515912.449155303),망포동
SL_4211,37.24274,127.061001,정상,2004,POINT (205412.4919063727 515953.964895958),망포동
SL_4212,37.243096,127.061052,정상,2004,POINT (205416.99155214397 515993.4774823171),망포동
SL_4213,37.24495,127.057047,정상,2002,POINT (205061.5138790474 516199.01690621057),망포동
SL_4214,37.244765,127.057379,정상,2002,POINT (205090.98313544676 516178.5029917955),망포동
SL_4215,37.244485,127.057734,정상,2002,POINT (205122.49965840208 516147.44711214176),망포동
