year,month,day,hour,day_night,day_of_week,city,district,accident_type,lon,lat,datetime
2014,02,12,00,야간,수,경기,수원시,차대사람,127.04867445,37.27727018,2014-02-12 00:00:00
2014,08,03,00,야간,일,경기,수원시,차대사람,126.99937018,37.30274351,2014-08-03 00:00:00
2014,07,24,02,야간,목,경기,수원시,차량단독,127.03849092,37.24547476,2014-07-24 02:00:00
2014,06,17,22,야간,화,경기,수원시,차대차,127.01866249,37.25005604,2014-06-17 22:00:00
2014,01,12,22,야간,일,경기,수원시,차대사람,127.06238968,37.26968686,2014-01-12 22:00:00
2014,01,22,03,야간,수,경기,수원시,차대차,126.97833214,37.27734165,2014-01-22 03:00:00
2014,05,27,01,야간,화,경기,수원시,차량단독,127.0357982,37.24146203,2014-05-27 01:00:00
2014,06,19,00,야간,목,경기,수원시,차대차,127.02059886,37.2967921,2014-06-19 00:00:00
2014,02,18,18,야간,화,경기,수원시,차대사람,126.97825142,37.2874008,2014-02-18 18:00:00
2014,02,01,18,야간,토,경기,수원시,차대차,127.03293451,37.29075704,2014-02-01 18:00:00
2014,02,01,18,야간,토,경기,수원시,차대사람,127.00105697,37.28995091,2014-02-01 18:00:00
2014,02,12,22,야간,수,경기,수원시,차대사람,126.99551551,37.31053315,2014-02-12 22:00:00
2014,07,25,23,야간,금,경기,수원시,차대사람,127.01125548,37.25335185,2014-07-25 23:00:00
2014,06,25,23,야간,수,경기,수원시,차대차,127.01867359,37.25008313,2014-06-25 23:00:00
2014,07,29,01,야간,화,경기,수원시,차대차,127.01918211,37.29247771,2014-07-29 01:00:00
2014,02,11,20,야간,화,경기,수원시,차대사람,127.00561085,37.28193863,2014-02-11 20:00:00
2014,07,13,04,야간,일,경기,수원시,차대사람,127.03281577,37.26433675,2014-07-13 04:00:00
2014,07,08,00,야간,화,경기,수원시,차대사람,127.07216443,37.25245184,2014-07-08 00:00:00
2014,07,20,06,주간,일,경기,수원시,차대차,127.02150381,37.31245287,2014-07-20 06:00:00
2014,07,08,08,주간,화,경기,수원시,차대사람,127.06678509,37.27617504,2014-07-08 08:00:00
2014,07,08,22,야간,화,경기,수원시,차대차,127.06476207,37.25922139,2014-07-08 22:00:00
2014,07,31,02,야간,목,경기,수원시,차대차,127.03241659,37.24681204,2014-07-31 02:00:00
2014,06,25,22,야간,수,경기,수원시,차대사람,127.03714789,37.26595825,2014-06-25 22:00:00
2015,01,02,17,주,금,경기,수원시,차대사람,126.9914549,37.29850929,2015-01-02 17:00:00
2015,01,05,06,주,월,경기,수원시,차대차,127.0280077,37.27755915,2015-01-05 06:00:00
2015,01,06,23,야,화,경기,수원시,차대차,127.0457322,37.29572844,2015-01-06 23:00:00
2015,01,16,13,주,금,경기,수원시,차량단독,127.0093292,37.30170355,2015-01-16 13:00:00
2015,01,17,06,주,토,경기,수원시,차대사람,126.9691506,37.27407385,2015-01-17 06:00:00
2015,01,23,06,주,금,경기,수원시,차대차,127.0071085,37.29860166,2015-01-23 06:00:00
2015,01,25,18,야,일,경기,수원시,차대사람,127.0104618,37.28711475,2015-01-25 18:00:00
2015,01,29,20,야,목,경기,수원시,차대사람,127.0576507,37.24879292,2015-01-29 20:00:00
2015,02,11,01,야,수,경기,수원시,차대사람,127.004044,37.28003916,2015-02-11 01:00:00
2015,02,26,13,주,목,경기,수원시,차대차,127.0012999,37.2702295,2015-02-26 13:00:00
2015,03,06,13,주,금,경기,수원시,차대사람,127.0227535,37.2307286,2015-03-06 13:00:00
2015,03,07,08,주,토,경기,수원시,차대차,126.9689707,37.28042784,2015-03-07 08:00:00
2015,03,09,09,주,월,경기,수원시,차대차,127.0141401,37.26245879,2015-03-09 09:00:00
2015,03,13,01,야,금,경기,수원시,차대차,126.9959053,37.31637579,2015-03-13 01:00:00
2015,04,20,21,야,월,경기,수원시,차량단독,127.00514,37.28838161,2015-04-20 21:00:00
2015,04,26,23,야,일,경기,수원시,차대차,127.0183358,37.28188293,2015-04-26 23:00:00
2015,05,28,17,주,목,경기,수원시,차량단독,127.0717928,37.26631397,2015-05-28 17:00:00
2015,06,05,21,야,금,경기,수원시,차대사람,127.031874,37.29440348,2015-06-05 21:00:00
2015,06,10,03,야,수,경기,수원시,차대사람,126.9900712,37.2845228,2015-06-10 03:00:00
2015,06,27,04,야,토,경기,수원시,차대사람,126.9943725,37.30933844,2015-06-27 04:00:00
2015,06,27,22,야,토,경기,수원시,차대사람,127.0065708,37.27831904,2015-06-27 22:00:00
2015,07,03,21,야,금,경기,수원시,차대사람,127.0351494,37.24612872,2015-07-03 21:00:00
2015,07,07,06,주,화,경기,수원시,차대사람,126.9987085,37.26981293,2015-07-07 06:00:00
2015,07,27,01,야,월,경기,수원시,차대차,127.0163106,37.29514314,2015-07-27 01:00:00
2015,08,05,00,야,수,경기,수원시,차대사람,126.9734186,37.27507543,2015-08-05 00:00:00
2015,08,10,18,야,월,경기,수원시,차대차,126.991645,37.31049856,2015-08-10 18:00:00
2015,08,27,10,주,목,경기,수원시,차대차,127.0117514,37.30403915,2015-08-27 10:00:00
2015,09,04,20,야,금,경기,수원시,차대차,126.9937778,37.26841281,2015-09-04 20:00:00
2015,09,27,05,야,일,경기,수원시,차대사람,127.0001777,37.26767382,2015-09-27 05:00:00
2015,09,27,06,주,일,경기,수원시,차대차,126.9578733,37.29265445,2015-09-27 06:00:00
2015,09,29,20,야,화,경기,수원시,차대차,126.983234,37.3011508,2015-09-29 20:00:00
2015,10,14,05,야,수,경기,수원시,차대사람,127.0241716,37.26516766,2015-10-14 05:00:00
2015,10,17,15,주,토,경기,수원시,차대차,126.9461331,37.29356458,2015-10-17 15:00:00
2015,11,13,05,야,금,경기,수원시,차대사람,127.001877,37.26480554,2015-11-13 05:00:00
2015,11,20,21,야,금,경기,수원시,차대차,126.9927007,37.29614399,2015-11-20 21:00:00
2015,11,23,04,야,월,경기,수원시,차대차,127.0469029,37.24536302,2015-11-23 04:00:00
2015,12,01,16,주,화,경기,수원시,차대차,126.9788261,37.27604582,2015-12-01 16:00:00
2015,12,02,21,야,수,경기,수원시,차대차,126.9640643,37.26125117,2015-12-02 21:00:00
2015,12,22,11,주,화,경기,수원시,차대사람,127.0065209,37.26867394,2015-12-22 11:00:00
2016,02,19,01,야간,금,경기,수원시,차대사람,127.07294999,37.24712741,2016-02-19 01:00:00
2016,02,25,11,주간,목,경기,수원시,차대사람,127.01740476,37.24217271,2016-02-25 11:00:00
2016,03,09,04,야간,수,경기,수원시,차대사람,127.01878062,37.27048212,2016-03-09 04:00:00
2016,03,17,22,야간,목,경기,수원시,차대사람,126.98073255,37.29572252,2016-03-17 22:00:00
2016,07,22,16,주간,금,경기,수원시,차대차,127.03821554,37.2739668,2016-07-22 16:00:00
2016,07,27,15,주간,수,경기,수원시,차대차,126.9836594,37.23392682,2016-07-27 15:00:00
2016,04,11,20,야간,월,경기,수원시,차대차,127.01540921,37.31957606,2016-04-11 20:00:00
2016,04,30,05,야간,토,경기,수원시,차대차,126.96999105,37.29095163,2016-04-30 05:00:00
2016,05,24,02,야간,화,경기,수원시,차대사람,127.01367605,37.24693486,2016-05-24 02:00:00
2016,04,27,20,야간,수,경기,수원시,차대사람,127.01557977,37.29475255,2016-04-27 20:00:00
2016,06,21,03,야간,화,경기,수원시,차량단독,127.07819483,37.28927744,2016-06-21 03:00:00
2016,06,15,02,야간,수,경기,수원시,차대사람,127.05817714,37.23780683,2016-06-15 02:00:00
2016,05,15,19,야간,일,경기,수원시,차대차,126.98184546,37.29467277,2016-05-15 19:00:00
2016,08,23,05,야간,화,경기,수원시,차대사람,127.00347942,37.29042982,2016-08-23 05:00:00
2016,08,04,03,야간,목,경기,수원시,차량단독,127.0176447,37.25052062,2016-08-04 03:00:00
2016,09,10,05,야간,토,경기,수원시,차대차,127.01850406,37.25014553,2016-09-10 05:00:00
2016,05,12,21,야간,목,경기,수원시,차대사람,127.01383073,37.27550068,2016-05-12 21:00:00
2016,08,13,01,야간,토,경기,수원시,차량단독,127.05056298,37.2650815,2016-08-13 01:00:00
