SIGNGU,TYPE,AREA_ID,GOMTR_TYPE,PXL_CRDNT,PLAC_CNT
수원시,Feature,다사49ba22ba,Polygon,"[[[126.93018704568988, 37.30008702852733], [126.9301700446769, 37.302340409413816], [126.9329908585779, 37.30235395765847], [126.93300777544223, 37.30010057567356], [126.93018704568988, 37.30008702852733]]]",0
수원시,Feature,다사49ba22bb,Polygon,"[[[126.9301700446769, 37.302340409413816], [126.93015304177172, 37.304593789433596], [126.93297393983069, 37.30460733877671], [126.9329908585779, 37.30235395765847], [126.9301700446769, 37.302340409413816]]]",0
수원시,Feature,다사49bb17ba,Polygon,"[[[126.93334571766891, 37.25503275400553], [126.93332883841543, 37.25728615331968], [126.93614797299992, 37.257299612489675], [126.93616476829162, 37.25504621208383], [126.93334571766891, 37.25503275400553]]]",0
수원시,Feature,다사49bb17bb,Polygon,"[[[126.93332883841543, 37.25728615331968], [126.93331195728348, 37.25953955176756], [126.93613117583911, 37.25955301202929], [126.93614797299992, 37.257299612489675], [126.93332883841543, 37.25728615331968]]]",0
수원시,Feature,다사49bb18aa,Polygon,"[[[126.93331195728348, 37.25953955176756], [126.93329507427286, 37.26179294934914], [126.93611437680896, 37.261806410702675], [126.93613117583911, 37.25955301202929], [126.93331195728348, 37.25953955176756]]]",0
수원시,Feature,다사49bb18ab,Polygon,"[[[126.93329507427286, 37.26179294934914], [126.93327818938336, 37.26404634606441], [126.93609757590927, 37.264059808509806], [126.93611437680896, 37.261806410702675], [126.93329507427286, 37.26179294934914]]]",0
수원시,Feature,다사49bb18ba,Polygon,"[[[126.93327818938336, 37.26404634606441], [126.93326130261472, 37.266299741913336], [126.93608077313984, 37.266313205450665], [126.93609757590927, 37.264059808509806], [126.93327818938336, 37.26404634606441]]]",0
수원시,Feature,다사49bb18bb,Polygon,"[[[126.93326130261472, 37.266299741913336], [126.93324441396675, 37.268553136895896], [126.93606396850038, 37.26856660152522], [126.93608077313984, 37.266313205450665], [126.93326130261472, 37.266299741913336]]]",0
수원시,Feature,다사49bb19aa,Polygon,"[[[126.93324441396675, 37.268553136895896], [126.93322752343923, 37.27080653101208], [126.93604716199073, 37.27081999673347], [126.93606396850038, 37.26856660152522], [126.93324441396675, 37.268553136895896]]]",1
수원시,Feature,다사49bb19ab,Polygon,"[[[126.93322752343923, 37.27080653101208], [126.93321063103195, 37.27305992426187], [126.93603035361065, 37.2730733910754], [126.93604716199073, 37.27081999673347], [126.93322752343923, 37.27080653101208]]]",1
수원시,Feature,다사49bb19ba,Polygon,"[[[126.93321063103195, 37.27305992426187], [126.93319373674467, 37.27531331664526], [126.93601354335996, 37.27532678455097], [126.93603035361065, 37.2730733910754], [126.93321063103195, 37.27305992426187]]]",2
수원시,Feature,다사49bb19bb,Polygon,"[[[126.93319373674467, 37.27531331664526], [126.93317684057718, 37.2775667081622], [126.93599673123839, 37.277580177160175], [126.93601354335996, 37.27532678455097], [126.93319373674467, 37.27531331664526]]]",3
수원시,Feature,다사49bb20aa,Polygon,"[[[126.93317684057718, 37.2775667081622], [126.93315994252926, 37.27982009881268], [126.93597991724573, 37.27983356890298], [126.93599673123839, 37.277580177160175], [126.93317684057718, 37.2775667081622]]]",0
수원시,Feature,다사49bb20ab,Polygon,"[[[126.93315994252926, 37.27982009881268], [126.93314304260068, 37.28207348859671], [126.93596310138177, 37.28208695977939], [126.93597991724573, 37.27983356890298], [126.93315994252926, 37.27982009881268]]]",0
수원시,Feature,다사49bb20ba,Polygon,"[[[126.93314304260068, 37.28207348859671], [126.93312614079123, 37.28432687751424], [126.93594628364632, 37.28434034978937], [126.93596310138177, 37.28208695977939], [126.93314304260068, 37.28207348859671]]]",0
수원시,Feature,다사49bb20bb,Polygon,"[[[126.93312614079123, 37.28432687751424], [126.93310923710071, 37.28658026556525], [126.93592946403912, 37.28659373893289], [126.93594628364632, 37.28434034978937], [126.93312614079123, 37.28432687751424]]]",1
수원시,Feature,다사49bb21aa,Polygon,"[[[126.93310923710071, 37.28658026556525], [126.93309233152884, 37.288833652749744], [126.93591264255997, 37.28884712720995], [126.93592946403912, 37.28659373893289], [126.93310923710071, 37.28658026556525]]]",0
수원시,Feature,다사49bb21ab,Polygon,"[[[126.93309233152884, 37.288833652749744], [126.93307542407545, 37.291087039067676], [126.93589581920862, 37.29110051462054], [126.93591264255997, 37.28884712720995], [126.93309233152884, 37.288833652749744]]]",1
수원시,Feature,다사49bb21ba,Polygon,"[[[126.93307542407545, 37.291087039067676], [126.93305851474034, 37.29334042451905], [126.93587899398491, 37.29335390116461], [126.93589581920862, 37.29110051462054], [126.93307542407545, 37.291087039067676]]]",0
수원시,Feature,다사49bb22ab,Polygon,"[[[126.93302469042393, 37.297847192822], [126.93300777544223, 37.30010057567356], [126.93582850707722, 37.30011405559761], [126.93584533791943, 37.29786067165316], [126.93302469042393, 37.297847192822]]]",0
수원시,Feature,다사49bb22ba,Polygon,"[[[126.93300777544223, 37.30010057567356], [126.9329908585779, 37.30235395765847], [126.93581167436173, 37.30236743867548], [126.93582850707722, 37.30011405559761], [126.93300777544223, 37.30010057567356]]]",0
수원시,Feature,다사49bb22bb,Polygon,"[[[126.9329908585779, 37.30235395765847], [126.93297393983069, 37.30460733877671], [126.93579483977277, 37.304620820886754], [126.93581167436173, 37.30236743867548], [126.9329908585779, 37.30235395765847]]]",0
수원시,Feature,다사50aa17ba,Polygon,"[[[126.93616476829162, 37.25504621208383], [126.93614797299992, 37.257299612489675], [126.93896710945353, 37.257313004540826], [126.93898382078319, 37.25505960304874], [126.93616476829162, 37.25504621208383]]]",0
수원시,Feature,다사50aa17bb,Polygon,"[[[126.93614797299992, 37.257299612489675], [126.93613117583911, 37.25955301202929], [126.93895039626408, 37.25956640516674], [126.93896710945353, 37.257313004540826], [126.93614797299992, 37.257299612489675]]]",0
수원시,Feature,다사50aa18aa,Polygon,"[[[126.93613117583911, 37.25955301202929], [126.93611437680896, 37.261806410702675], [126.93893368121464, 37.26181980492649], [126.93895039626408, 37.25956640516674], [126.93613117583911, 37.25955301202929]]]",0
수원시,Feature,다사50aa18ab,Polygon,"[[[126.93611437680896, 37.261806410702675], [126.93609757590927, 37.264059808509806], [126.93891696430498, 37.26407320382004], [126.93893368121464, 37.26181980492649], [126.93611437680896, 37.261806410702675]]]",0
수원시,Feature,다사50aa18ba,Polygon,"[[[126.93609757590927, 37.264059808509806], [126.93608077313984, 37.266313205450665], [126.93890024553492, 37.26632660184739], [126.93891696430498, 37.26407320382004], [126.93609757590927, 37.264059808509806]]]",0
수원시,Feature,다사50aa18bb,Polygon,"[[[126.93608077313984, 37.266313205450665], [126.93606396850038, 37.26856660152522], [126.93888352490421, 37.268579999008516], [126.93890024553492, 37.26632660184739], [126.93608077313984, 37.266313205450665]]]",0
수원시,Feature,다사50aa19aa,Polygon,"[[[126.93606396850038, 37.26856660152522], [126.93604716199073, 37.27081999673347], [126.93886680241263, 37.27083339530337], [126.93888352490421, 37.268579999008516], [126.93606396850038, 37.26856660152522]]]",3
수원시,Feature,다사50aa19ab,Polygon,"[[[126.93604716199073, 37.27081999673347], [126.93603035361065, 37.2730733910754], [126.93885007806003, 37.27308679073198], [126.93886680241263, 37.27083339530337], [126.93604716199073, 37.27081999673347]]]",0
수원시,Feature,다사50aa19ba,Polygon,"[[[126.93603035361065, 37.2730733910754], [126.93601354335996, 37.27532678455097], [126.9388333518461, 37.27534018529429], [126.93885007806003, 37.27308679073198], [126.93603035361065, 37.2730733910754]]]",3
수원시,Feature,다사50aa19bb,Polygon,"[[[126.93601354335996, 37.27532678455097], [126.93599673123839, 37.277580177160175], [126.93881662377066, 37.2775935789903], [126.9388333518461, 37.27534018529429], [126.93601354335996, 37.27532678455097]]]",2
수원시,Feature,다사50aa20aa,Polygon,"[[[126.93599673123839, 37.277580177160175], [126.93597991724573, 37.27983356890298], [126.93879989383349, 37.279846971819985], [126.93881662377066, 37.2775935789903], [126.93599673123839, 37.277580177160175]]]",0
수원시,Feature,다사50aa20ab,Polygon,"[[[126.93597991724573, 37.27983356890298], [126.93596310138177, 37.28208695977939], [126.9387831620344, 37.28210036378333], [126.93879989383349, 37.279846971819985], [126.93597991724573, 37.27983356890298]]]",0
수원시,Feature,다사50aa20ba,Polygon,"[[[126.93596310138177, 37.28208695977939], [126.93594628364632, 37.28434034978937], [126.93876642837313, 37.28435375488031], [126.9387831620344, 37.28210036378333], [126.93596310138177, 37.28208695977939]]]",1
수원시,Feature,다사50aa20bb,Polygon,"[[[126.93594628364632, 37.28434034978937], [126.93592946403912, 37.28659373893289], [126.93874969284947, 37.28660714511089], [126.93876642837313, 37.28435375488031], [126.93594628364632, 37.28434034978937]]]",1
수원시,Feature,다사50aa21aa,Polygon,"[[[126.93592946403912, 37.28659373893289], [126.93591264255997, 37.28884712720995], [126.93873295546325, 37.28886053447508], [126.93874969284947, 37.28660714511089], [126.93592946403912, 37.28659373893289]]]",0
수원시,Feature,다사50aa21ab,Polygon,"[[[126.93591264255997, 37.28884712720995], [126.93589581920862, 37.29110051462054], [126.93871621621419, 37.291113922972855], [126.93873295546325, 37.28886053447508], [126.93591264255997, 37.28884712720995]]]",0
수원시,Feature,다사50aa21ba,Polygon,"[[[126.93589581920862, 37.29110051462054], [126.93587899398491, 37.29335390116461], [126.93869947510208, 37.29336731060419], [126.93871621621419, 37.291113922972855], [126.93589581920862, 37.29110051462054]]]",4
수원시,Feature,다사50aa21bb,Polygon,"[[[126.93587899398491, 37.29335390116461], [126.93586216688858, 37.295607286842156], [126.93868273212676, 37.29562069736905], [126.93869947510208, 37.29336731060419], [126.93587899398491, 37.29335390116461]]]",0
수원시,Feature,다사50aa22aa,Polygon,"[[[126.93586216688858, 37.295607286842156], [126.93584533791943, 37.29786067165316], [126.93866598728795, 37.297874083267445], [126.93868273212676, 37.29562069736905], [126.93586216688858, 37.295607286842156]]]",0
수원시,Feature,다사50aa22ab,Polygon,"[[[126.93584533791943, 37.29786067165316], [126.93582850707722, 37.30011405559761], [126.93864924058548, 37.300127468299344], [126.93866598728795, 37.297874083267445], [126.93584533791943, 37.29786067165316]]]",0
수원시,Feature,다사50aa22ba,Polygon,"[[[126.93582850707722, 37.30011405559761], [126.93581167436173, 37.30236743867548], [126.93863249201907, 37.302380852464715], [126.93864924058548, 37.300127468299344], [126.93582850707722, 37.30011405559761]]]",0
수원시,Feature,다사50aa22bb,Polygon,"[[[126.93581167436173, 37.30236743867548], [126.93579483977277, 37.304620820886754], [126.93861574158855, 37.304634235763565], [126.93863249201907, 37.302380852464715], [126.93581167436173, 37.30236743867548]]]",0
수원시,Feature,다사50ab17ba,Polygon,"[[[126.93898382078319, 37.25505960304874], [126.93896710945353, 37.257313004540826], [126.9417862477669, 37.257326329473], [126.94180287513434, 37.255072926900134], [126.93898382078319, 37.25505960304874]]]",0
